,Unnamed: 0,date,time,avgMeasuredTime,vehicleCount,dewptm,hum,pressurem,tempm,wdird,wspdm,event,POINT_1_STREET,POINT_2_STREET,POINT_1_CITY,POINT_2_CITY,POINT_1_LAT,POINT_2_LAT,POINT_1_LNG,POINT_2_LNG,POINT_1_NAME,POINT_2_NAME,DURATION_IN_SEC,NDT_IN_KMH,ROAD_TYPE,REPORT_ID,DISTANCE_IN_METERS
0,0,8/1/2014,7,72,10,15,80,1012.333333,18.33333333,210,5.6,No Event,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839,4364,4349,77,70,MAJOR_ROAD,158895,1505
1,1,8/1/2014,8,71.25,72,14.66666667,68.66666667,1012.333333,20,223.3333333,9.266666667,No Event,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839,4364,4349,77,70,MAJOR_ROAD,158895,1505
2,2,8/1/2014,9,71,84,13.66666667,60,1013,21,236.6666667,11.73333333,No Event,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839,4364,4349,77,70,MAJOR_ROAD,158895,1505
3,3,8/1/2014,10,70.66666667,75,13.33333333,56,1013,21.66666667,206.6666667,11.13333333,No Event,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839,4364,4349,77,70,MAJOR_ROAD,158895,1505
4,4,8/1/2014,11,69,71,13,50.66666667,1012.666667,22.66666667,213.3333333,12.36666667,No Event,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839,4364,4349,77,70,MAJOR_ROAD,158895,1505
5,5,8/1/2014,12,66.25,76,14.33333333,55,1013,23,180,14.2,No Event,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839,4364,4349,77,70,MAJOR_ROAD,158895,1505
6,6,8/1/2014,13,67.75,61,13.33333333,52.33333333,1013,22.66666667,176.6666667,13.56666667,No Event,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839,4364,4349,77,70,MAJOR_ROAD,158895,1505
7,7,8/1/2014,14,66.91666667,59,11.66666667,41.66666667,1013,24.33333333,203.3333333,12.36666667,No Event,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839,4364,4349,77,70,MAJOR_ROAD,158895,1505
8,8,8/1/2014,15,62.5,29,12.33333333,42.33333333,1012.666667,24.33333333,176.6666667,12.36666667,No Event,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839,4364,4349,77,70,MAJOR_ROAD,158895,1505
9,9,8/1/2014,16,65.33333333,26,11.33333333,38.33333333,1012.333333,25,176.6666667,14.83333333,No Event,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839,4364,4349,77,70,MAJOR_ROAD,158895,1505
